GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200018,18 pasco,,70.5 [60.3-79.0],70.49809,60.31074,78.98184,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,PRLM,Primary,,,,,,,,,,,,,,76.6 [74.3-78.7],76.56429,74.28941,78.69561,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,URB,Urban,,,,,,,,92.5 [91.3-93.6],92.52721,91.30538,93.58939,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200004,04 arequipa,,88.3 [77.3-94.4],88.31776,77.3148,94.37242,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200006,06 cajamarca,,69.8 [61.8-76.7],69.76744,61.82646,76.6796,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200011,11 junin,,79.5 [72.1-85.4],79.54546,72.10623,85.40231,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200013,13 lambayeque,,79.1 [68.3-86.9],79.10448,68.32658,86.91709,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200020,20 puno,,89.6 [85.3-92.7],89.57219,85.31941,92.69843,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200022,22 tacna,,94.5 [90.4-96.9],94.51219,90.41919,96.91627,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,NHLM,None,,,,,,,,,,,,,,61.5 [56.0-66.7],61.48518,55.95963,66.72965,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200007,07 cusco,,95.2 [90.9-97.5],95.15571,90.8759,97.4836,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200008,08 huancavelica,,81.9 [77.1-85.8],81.88235,77.1348,85.82531,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200009,09 huanuco,,69.7 [65.4-73.6],69.66967,65.43036,73.59888,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200010,10 ica,,96.7 [93.8-98.3],96.69811,93.84962,98.25193,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200024,24 ucayali,,76.2 [69.4-81.8],76.17329,69.42624,81.82126,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,68.4 [65.5-71.2],68.425,65.481,71.22826,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,SHLM,Secondary or higher,,,,,,,,,,,,,,93.5 [92.5-94.4],93.53316,92.50211,94.43096,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200003,03 apurimac,,91.4 [87.1-94.4],91.40401,87.07664,94.37595,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200005,05 ayacucho,,82.2 [77.5-86.1],82.20551,77.5409,86.07529,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200012,12 la libertad,,79.7 [74.5-84.1],79.6748,74.46271,84.05096,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200014,14 lima,,94.4 [92.1-96.0],94.39153,92.11639,96.03831,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200019,19 piura,,86.8 [81.3-90.9],86.83274,81.25698,90.93484,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200021,21 san martin,,85.7 [78.9-90.6],85.71429,78.87803,90.60158,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,PER,Peru,,,,,,,,,,,,,,PERDHS200023,23 tumbes,,95.1 [90.6-97.5],95.07389,90.64631,97.4643,,,
